match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_performance,p2_performance,performance_diff
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:06:09,4,1,210,2,1,0,0,0,0,1,1,2,107,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.067,18.813,4,116.0,BW,NCTL,ND,0.0,0.6,-0.6
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:06:36,4,1,211,2,1,0,0,0,15,1,2,2,107,104,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.792,3.847,0,,BW,CTL,,0.0,0.6,-1.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:07:16,4,1,212,2,1,0,0,0,30,1,1,1,108,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,6.285,1,130.0,C,NCTL,ND,0.4,0.0,-0.7999999999999999
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:07:56,4,1,213,2,1,0,0,15,30,1,1,1,109,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.118,31.364,5,128.0,BW,CTL,ND,0.4,0.0,-0.3999999999999999
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:08:31,4,1,214,2,1,0,0,30,30,1,1,1,110,104,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,36.133,28.944,5,118.0,BC,NCTL,ND,0.4,0.0,1.1102230246251565e-16
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:09:09,4,1,215,2,1,0,0,40,30,1,1,1,111,104,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.777,21.412,1,123.0,C,NCTL,ND,0.4,0.0,0.40000000000000013
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:10:06,4,2,216,2,1,1,0,0,0,2,1,1,112,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.06,36.759,12,108.0,BW,NCTL,ND,0.6,0.0,1.0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:10:52,4,2,217,2,1,1,0,15,0,2,1,1,113,104,0,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.512,12.899,2,123.0,W,CTL,D,0.6,0.0,1.6
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:11:45,4,2,218,2,1,1,0,30,0,2,1,2,113,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,31.47,17.893,3,121.0,C,NCTL,ND,0.0,0.4,1.2000000000000002
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,03:12:16,4,2,219,2,1,1,0,30,15,2,2,1,114,105,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.387,10.959,4,90.0,B,NCTL,ND,0.6,0.0,1.8000000000000003
